subject_name	target_courses
環境生態工学概論	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
情報基礎	環境科学課程, 環境生態工学課程, 先端理工学部
