syllabus_id,year,course_title,subtitle,departments,grade,campus,term_schedule,credits,note,extraction_time,created_at,all_instructors_kanji,all_instructors_kana
B000001230,2025,フレッシャーズゼミ,大学入門：主体的学修に向けて,経営学部,1年次～4年次,深草,前期　水３(B201),2,２０２５年度以降入学生用（商学科生のみ）,2025-06-01 21:12:53,2025-06-01 12:12:54,ホワイト　ショーン・アラン,ホワイト　シヨーン･アラン
B000001240,2025,フレッシャーズゼミ,大学入門：主体的学修に向けて,経営学部,1年次～4年次,深草,前期　水３(B203),2,２０２５年度以降入学生用（商学科生のみ）,2025-06-01 21:13:01,2025-06-01 12:13:01,山岡　華菜子,ヤマオカ　カナコ
B000001250,2025,フレッシャーズゼミ,大学入門：主体的学修に向けて,経営学部,1年次～4年次,深草,前期　水３(B202),2,２０２５年度以降入学生用（商学科生のみ）,2025-06-01 21:13:20,2025-06-01 12:13:20,眞鍋　邦大,マナベ　クニヒロ
B000001260,2025,フレッシャーズゼミ,大学入門：主体的学修に向けて,経営学部,1年次～4年次,深草,前期　水３,2,２０２５年度以降入学生用（商学科生のみ）,2025-06-01 21:13:22,2025-06-01 12:13:23,細川　孝,ホソカワ　タカシ
B000001270,2025,,,,,,,,,2025-06-01 21:41:13,2025-06-01 12:41:13,林　尚毅,ハヤシ　ナオキ
B000001280,2025,,,,,,,,,2025-06-01 21:41:14,2025-06-01 12:41:14,西川　浩司,ニシカワ　ヒロシ
B000001290,2025,フレッシャーズゼミ,大学入門：主体的学修に向けて,経営学部,1年次～4年次,深草,前期　水３,2,２０２５年度以降入学生用（商学科生のみ）,2025-06-01 21:13:51,2025-06-01 12:13:52,鈴木　美央,スズキ　ミオ
B000001300,2025,フレッシャーズゼミ,大学入門：主体的学修に向けて,経営学部,1年次～4年次,深草,前期　水３,2,２０２５年度以降入学生用（商学科生のみ）,2025-06-01 21:13:58,2025-06-01 12:13:58,徐　ミン廷,ソ　ミンジョン
B000001310,2025,フレッシャーズゼミ,大学入門：主体的学修に向けて,経営学部,1年次～4年次,深草,前期　水３,2,２０２５年度以降入学生用（商学科生のみ）,2025-06-01 21:14:16,2025-06-01 12:14:16,秋庭　太,アキバ　フトシ
B000001380,2025,特別基礎演習,経営戦略の観点から企業分析を行う,経営学部,1年次～4年次,深草,後期　火５(B302),2,特別基礎演習１年生,2025-06-01 21:14:23,2025-06-01 12:14:23,宮本　琢也,ミヤモト　タクヤ
B000001390,2025,特別基礎演習,財務諸表の分析をしてみよう,経営学部,1年次～4年次,深草,後期　火５(B303),2,特別基礎演習１年生,2025-06-01 21:14:27,2025-06-01 12:14:28,鈴木　学,スズキ　マナブ
