syllabus_id,year,course_title,subtitle,departments,grade,campus,term_schedule,credits,note,extraction_time,created_at
C300006802,2025,社会福祉実践論,現場から学ぶ社会福祉,社会学部,1年次～4年次,深草,前期　金５(C206),2,,2025-06-02 00:52:14,2025-06-01 15:52:16
C300006500,2025,障害者福祉論Ⅰ,障害者福祉を支える思想に学ぶ,社会学部,1年次～4年次,深草,後期　金１(C310),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）
２０１６～２０１９年度入学生用",2025-06-02 00:52:14,2025-06-01 15:52:16
C300006600,2025,障害者福祉論Ⅱ,障害者に対する支援について、法制度を中心に学ぶ,社会学部,1年次～4年次,深草,前期　金１(C208),2,２０１６～２０１９年度入学生用,2025-06-02 00:52:16,2025-06-01 15:52:25
C300007000,2025,臨床心理学理論と方法,,社会学部,2年次～4年次,深草,前期　金４(C229),2,,2025-06-02 00:52:56,2025-06-01 15:52:58
C300006900,2025,手話コミュニケーション論,きこえない・きこえにくい人の暮らしや手話言語などについて一緒に学びませんか。,社会学部,1年次～4年次,深草,前期　火３(C250),2,２０２０年度以降入学生用,2025-06-02 00:52:56,2025-06-01 15:52:58
C300007100,2025,社会企業論,社会的企業と社会福祉,社会学部,2年次～4年次,深草,後期　金１(C312),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）",2025-06-02 00:52:56,2025-06-01 15:52:58
C300007500,2025,社会貢献論,市民による社会貢献のデザイン,社会学部,2年次～4年次,深草,前期　木３(C263),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）",2025-06-02 00:53:00,2025-06-01 15:53:03
C300007200,2025,支援コミュニケーション論,,社会学部,2年次～4年次,深草,前期　月１(C202),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）",2025-06-02 00:53:00,2025-06-01 15:53:03
C300007201,2025,支援コミュニケーション論,,社会学部,2年次～4年次,深草,前期　月１(C203),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）",2025-06-02 00:53:00,2025-06-01 15:53:03
C300007202,2025,支援コミュニケーション論,,社会学部,2年次～4年次,深草,前期　月１(C204),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）",2025-06-02 00:53:00,2025-06-01 15:53:03
C300007600,2025,国際福祉論,世界主要国の福祉政策,社会学部,2年次～4年次,深草,後期　木３(C364),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）",2025-06-02 00:53:05,2025-06-01 15:53:06
C300007700,2025,国際福祉英会話,,社会学部,2年次～4年次,深草,前期　金４(C230),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）",2025-06-02 00:53:35,2025-06-01 15:53:38
C300007900,2025,ライフコースとセーフティネット,個人のライフコースと社会保障制度,社会学部,1年次～4年次,深草,前期　木３(C265),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）",2025-06-02 00:53:35,2025-06-01 15:53:38
C300008100,2025,障害者教育総論,,社会学部,2年次～4年次,深草,前期　火４(C243),2,福祉教育科目,2025-06-02 00:53:35,2025-06-01 15:53:38
C300010101,2025,精神保健福祉制度論,精神保健福祉に関する法体系、施策の概要について学ぶ。,社会学部,1年次～4年次,深草,後期　木５(C313),2,"学部共通講義（現代福祉学科提供）
卒業要件単位に含まれるのは上限１６単位まで（社会学科・コミュニティマネジメント学科）
２０２１年度以降入学生用
精神保健福祉士指定科目",2025-06-02 00:53:39,2025-06-01 15:53:41
C300090100,2025,卒業研究,,社会学部,4年次,深草,通年　集中(C123),4,,2025-06-02 00:53:39,2025-06-01 15:53:41
C300009600,2025,社会福祉調査実習,社会福祉調査の理論と実際,社会学部,3年次～4年次,深草,通年　火４(C144),2,,2025-06-02 00:53:39,2025-06-01 15:53:41
C300009000,2025,障害者発達論,教育福祉、障害児・者支援のための心理・福祉的アプローチ,社会学部,3年次～4年次,深草,後期　月４(C320),2,福祉教育科目,2025-06-02 00:53:39,2025-06-01 15:53:41
C300090110,2025,卒業研究,,社会学部,4年次,深草,通年　集中(C132),4,,2025-06-02 00:53:43,2025-06-01 15:53:45
C300090120,2025,卒業研究,,社会学部,4年次,深草,通年　集中(C133),4,,2025-06-02 00:54:11,2025-06-01 15:54:12
C300091000,2025,卒業研究,各自の研究テーマに沿って、論文執筆の指導を行う。,社会学部,4年次,深草,通年　集中(C131),4,,2025-06-02 00:54:38,2025-06-01 15:54:39
C300090600,2025,卒業研究,,社会学部,4年次,深草,通年　集中(C128),4,,2025-06-02 00:54:38,2025-06-01 15:54:39
C300090300,2025,卒業研究,現代福祉学科の学生としての集大成,社会学部,4年次,深草,通年　集中(C125),4,,2025-06-02 00:54:38,2025-06-01 15:54:39
C300090500,2025,卒業研究,４年間の学びの集大成,社会学部,4年次,深草,通年　集中(C127),4,,2025-06-02 00:54:38,2025-06-01 15:54:39
C300090800,2025,卒業研究,,社会学部,4年次,深草,通年　集中(C130),4,,2025-06-02 00:54:38,2025-06-01 15:54:39
C300090200,2025,卒業研究,社会デザイン研究／社会イノベーション実践研究,社会学部,4年次,深草,通年　集中(C124),4,,2025-06-02 00:54:38,2025-06-01 15:54:39
C300090400,2025,卒業研究,,社会学部,4年次,深草,通年　集中(C126),4,,2025-06-02 00:54:38,2025-06-01 15:54:39
C300090700,2025,卒業研究,,社会学部,4年次,深草,通年　集中(C129),4,,2025-06-02 00:54:38,2025-06-01 15:54:39
C300991000,2025,精神保健福祉の原理,精神保健福祉の原理に関する基本を学ぶ,社会学部,2年次～4年次,深草,後期　金３(C303)・金４（ペア）,4,"２０２１年度以降入学生用
精神保健福祉士指定科目",2025-06-02 00:55:07,2025-06-01 15:55:08
C300991100,2025,現代の精神保健の課題と支援Ⅰ,精神保健の基本的な理念や概念について理解する。,社会学部,2年次～4年次,深草,後期　木３(C341),2,"２０２１年度以降入学生用
精神保健福祉士指定科目",2025-06-02 00:55:08,2025-06-01 15:55:10
C300991200,2025,現代の精神保健の課題と支援Ⅱ,現代の精神保健の実際と支援,社会学部,2年次～4年次,深草,後期　木４(C332),2,"２０２１年度以降入学生用
精神保健福祉士指定科目",2025-06-02 00:55:15,2025-06-01 15:55:17
C300991201,2025,精神医学と精神医療,,社会学部,2年次～4年次,深草,後期　木１(C364),4,"２０２１年度以降入学生用
精神保健福祉士指定科目",2025-06-02 00:55:16,2025-06-01 15:55:17
C300991202,2025,精神医学と精神医療,,社会学部,2年次～4年次,深草,後期　木２,4,"２０２１年度以降入学生用
精神保健福祉士指定科目",2025-06-02 00:55:16,2025-06-01 15:55:17
C300991300,2025,ソーシャルワークの理論と方法,ソーシャルワークの理論と方法を4次元プロセスで学ぶ。,社会学部,2年次～4年次,深草,前期　火５(C211)・木４（ペア）,4,"２０２１年度以降入学生用
社会福祉士指定科目
精神保健福祉士指定科目",2025-06-02 00:55:16,2025-06-01 15:55:17
C300991400,2025,ソーシャルワークの理論と方法（専門）,,社会学部,2年次～4年次,深草,後期　水３(C306)・水４（ペア）,4,"２０２１年度以降入学生用
社会福祉士指定科目",2025-06-02 00:55:19,2025-06-01 15:55:21
C300991500,2025,権利擁護を支える法制度,,社会学部,2年次～4年次,深草,前期　月５(C202),2,"２０２１年度以降入学生用　
社会福祉士指定科目
精神保健福祉士指定科目",2025-06-02 00:55:19,2025-06-01 15:55:21
C300991600,2025,刑事司法と福祉,刑事司法ソーシャルワーク入門,社会学部,2年次～4年次,深草,前期　月２(C207),2,"２０２１年度以降入学生用
社会福祉士指定科目
精神保健福祉士指定科目",2025-06-02 00:55:42,2025-06-01 15:55:42
C31A000900,2025,情報処理実習ⅠＡ,インターネット、ワードプロセッサ、およびプレゼンテーションの基礎,社会学部,1年次～4年次,深草,後期　火５(C303),1,,2025-06-02 00:55:43,2025-06-01 15:55:44
C32A000100,2025,情報処理実習ⅡＡ,コンピュータで学ぶ統計学,社会学部,2年次～4年次,深草,前期　木３(C216),1,,2025-06-02 00:55:54,2025-06-01 15:55:56
C32A000300,2025,情報処理実習ⅡＡ,表計算ソフトを活用したアンケート調査分析,社会学部,2年次～4年次,深草,前期　木３(C218),1,,2025-06-02 00:55:54,2025-06-01 15:55:56
C32A000200,2025,情報処理実習ⅡＡ,コンピュータで学ぶ統計学,社会学部,2年次～4年次,深草,前期　木３(C217),1,,2025-06-02 00:55:54,2025-06-01 15:55:56
C31B000900,2025,情報処理実習ⅠＢ,表計算ソフトとソフトウェアの総合的利用,社会学部,1年次～4年次,深草,前期　火５(C204),1,,2025-06-02 00:55:54,2025-06-01 15:55:56
C32A000400,2025,情報処理実習ⅡＡ,コンピュータで学ぶ統計学,社会学部,2年次～4年次,深草,前期　木３(C219),1,,2025-06-02 00:55:57,2025-06-01 15:56:01
C32B000100,2025,情報処理実習ⅡＢ,コンピュータで学ぶ統計学,社会学部,2年次～4年次,深草,後期　木３(C320),1,,2025-06-02 00:55:57,2025-06-01 15:56:01
C32B000200,2025,情報処理実習ⅡＢ,コンピュータで学ぶ統計学,社会学部,2年次～4年次,深草,後期　木３(C321),1,,2025-06-02 00:56:19,2025-06-01 15:56:19
C3FW1A0120,2025,ソーシャルワーク実習指導Ⅰ,ソーシャルワーク実践現場を理解し、実習課題を明確化する,社会学部,3年次～4年次,深草,前期　木３(C228),2,,2025-06-02 00:56:44,2025-06-01 15:56:44
C3FW1A0150,2025,ソーシャルワーク実習指導Ⅰ,ソーシャルワーク実践現場を理解し、実習課題を明確化する,社会学部,3年次～4年次,深草,前期　木３(C230),2,,2025-06-02 00:56:44,2025-06-01 15:56:44
C32B000300,2025,情報処理実習ⅡＢ,統計学と調査データ分析,社会学部,2年次～4年次,深草,後期　木３(C322),1,,2025-06-02 00:56:44,2025-06-01 15:56:44
C3FW1A0170,2025,,,,,,,,,2025-06-02 00:56:44,2025-06-01 15:56:44
C32B000400,2025,情報処理実習ⅡＢ,コンピュータで学ぶ統計学,社会学部,2年次～4年次,深草,後期　木３(C323),1,,2025-06-02 00:56:44,2025-06-01 15:56:47
C3FW1A0110,2025,ソーシャルワーク実習指導Ⅰ,ソーシャルワーク実践現場を理解し、実習課題を明確化する,社会学部,3年次～4年次,深草,前期　木３(C227),2,,2025-06-02 00:56:45,2025-06-01 15:56:47
C3FW1A0140,2025,ソーシャルワーク実習指導Ⅰ,ソーシャルワーク実践現場を理解し、実習課題を明確化する,社会学部,3年次～4年次,深草,前期　木３(C229),2,,2025-06-02 00:56:45,2025-06-01 15:56:47
C3FW1A0160,2025,ソーシャルワーク実習指導Ⅰ,ソーシャルワーク実践現場を理解し、実習課題を明確化する,社会学部,3年次～4年次,深草,前期　木３(C231),2,,2025-06-02 00:56:45,2025-06-01 15:56:47
C3FW1A0180,2025,ソーシャルワーク実習指導Ⅰ,ソーシャルワーク実践現場を理解し、実習課題を明確化する,社会学部,3年次～4年次,深草,前期　木３(C233),2,,2025-06-02 00:57:16,2025-06-01 15:57:18
