科目名,課程,年度,科目区分,科目小区分,必須度,学修プログラム
情報基礎,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
フレッシャーズセミナー,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
キャリア実習・実習指導,電子情報通信,2025,専攻科目 ,専門基礎科目,随意,null
理工学のすすめ,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
ASEANグローバルプログラム,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
クラウドコンピューティング演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
デザインシンキング,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
グローバル人材育成プログラム,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
プロジェクトリサーチⅠ,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
プロジェクトリサーチⅡ,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
先端理工キャリア実習Ⅰ,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
先端理工インターンシップⅠ,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
先端理工キャリア実習Ⅱ,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
先端理工インターンシップⅡ,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
基礎数学Ⅰ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
情報通信基礎,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
計算機実習Ⅰ,電子情報通信,2025,専攻科目 ,専門基礎科目,選必,null
基礎数学Ⅱ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
理数基礎Ⅰ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,随意,null
基礎セミナー,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
線形代数学Ⅰ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選必,null
微分積分学Ⅰ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選必,null
電気回路基礎・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
電子回路基礎・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
微分積分学Ⅱ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
計算機実習Ⅱ,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
理数基礎Ⅱ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,随意,null
線形代数学Ⅱ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
プログラミング法Ⅰ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
計算機システム基礎,電子情報通信,2025,専攻科目 ,専門基礎科目,選必,null
ベクトル解析Ⅰ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選必,null
確率および統計・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選必,[4]
物理・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
プログラミング法Ⅱ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
ベクトル解析Ⅱ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
フーリエ解析,電子情報通信,2025,専攻科目 ,専門基礎科目,選必,null
電子情報通信実験Ⅰ,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
電気回路応用・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
電磁気学基礎・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選必,null
アルゴリズムとデータ構造Ⅰ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,"[4,7,10]"
通信工学基礎,電子情報通信,2025,専攻科目 ,専門基礎科目,選必,null
ディジタル論理,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
電子回路応用・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
電磁気学応用・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
アルゴリズムとデータ構造Ⅱ・演習,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,[4]
微分方程式とフーリエ変換,電子情報通信,2025,専攻科目 ,専門基礎科目,選択,null
電子情報通信実験Ⅱ,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
特別講義,電子情報通信,2025,専攻科目 ,専門基礎科目,必修,null
職業指導,電子情報通信,2025,専攻科目 ,専門基礎科目,随意,null
電子物性,電子情報通信,2025,専攻科目 ,専門応用科目,選必,[8]
半導体デバイス工学,電子情報通信,2025,専攻科目 ,専門応用科目,選必,"[8,9,17]"
統計的機械学習,電子情報通信,2025,専攻科目 ,専門応用科目,選必,"[4,10,11,14]"
認知科学,電子情報通信,2025,専攻科目 ,専門応用科目,選必,"[10,11,14]"
光デバイス,電子情報通信,2025,専攻科目 ,専門応用科目,選必,[8]
ナノエレクトロニクス工学,電子情報通信,2025,専攻科目 ,専門応用科目,選必,"[8,17]"
高周波電子回路,電子情報通信,2025,専攻科目 ,専門応用科目,選必,[9]
伝送線路,電子情報通信,2025,専攻科目 ,専門応用科目,選必,"[8,9]"
組込みシステム,電子情報通信,2025,専攻科目 ,専門応用科目,選必,"[7,9,10,11]"
群知能,電子情報通信,2025,専攻科目 ,専門応用科目,選必,"[10,11,14]"
画像情報処理,電子情報通信,2025,専攻科目 ,専門応用科目,選必,"[7,10,11,14]"
データサイエンス,電子情報通信,2025,専攻科目 ,専門応用科目,選必,"[4,10]"
電子材料,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[8,17]"
知能ロボット,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[9,10,11]"
人工知能,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[4,10,11]"
情報セキュリティ,電子情報通信,2025,専攻科目 ,専門応用科目,選択,[10]
ニューラルネットワーク,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[4,8,10,15]"
パワーエレクトロニクス,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[8,9,11]"
応用プログラミング・演習,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[4,9,10]"
情報数学,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[4,10]"
電子工学,電子情報通信,2025,専攻科目 ,専門応用科目,選択,[8]
電磁波工学,電子情報通信,2025,専攻科目 ,専門応用科目,選択,[9]
符号理論,電子情報通信,2025,専攻科目 ,専門応用科目,選択,"[9,10]"
