科目名	学部課程	年度	科目区分	科目小区分	必須度	学修プログラム	形態
情報基礎	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
フレッシャ-ズセミナ-	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
理工学のすすめ	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
デザインシンキング	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
キャリア実習·実習指導	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
ASEAN グロ-バルプログラム	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
グロ-バル人材育成プログラム	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
プロジェクトリサ-チI	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
プロジェクトリサ-チII	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工キャリア実習I	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工インタ-ンシップI	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工キャリア実習II	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工インタ-ンシップII	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
微分積分·演習	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
線形代数·演習	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
確率·統計	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
情報数学基礎	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
メディア処理基礎	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
ネットワ-ク基礎	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
プログラミング基礎演習I	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
プログラミング基礎演習II	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
ソフトウェア基礎	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
ハ-ドウェア基礎	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
デ-タ構造とアルゴリズム·演習	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
情報システム基礎	知能情報メディア課程	2025	専攻科目	専門基礎科目	必修	NULL
ディジタル信号処理	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	[5]
仮想メディアシステム	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	[5]
情報とセキュリティ	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	[4,6]
システムソフトウェア	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	[6]
デ-タベ-ス	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	[4,6]
知的財産概論	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
情報学概論	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
人間工学概論	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
情報と職業	知能情報メディア課程	2025	専攻科目	専門基礎科目	選択	NULL
クラウドコンピュ-ティング演習	知能情報メディア課程	2025	専攻科目	専門基礎科目	随意	NULL
ヒュ-マンコンピュ-タインタラクション	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[5,15]
多様なプログラミング言語	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[6]
コンピュ-タビジョン	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[5,7]
知能情報メディア課程演習	知能情報メディア課程	2025	専攻科目	専門応用科目	必修	NULL
音声·音響メディア処理論	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[5,14]
環境としての情報技術	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[4,5]
ニュ-ロとAI	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[6,7,14]
言語メディア処理論	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[4,5,7]
CGとVR	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[5]
デ-タインテリジェンス	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[4,6,7]
ネットワ-ク構成論	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[6]
実践プログラミング·演習	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	NULL
科学技術計算·演習	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[5]
画像メディア処理論	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[6]
ソフトウェア開発法	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	[4,6,7]
応用アルゴリズム	知能情報メディア課程	2025	専攻科目	専門応用科目	選択	NULL
ネットワ-クシステム·演習	知能情報メディア課程	2025	専攻科目	専門応用科目	必修	NULL
知能情報メディア課程セミナ-	知能情報メディア課程	2025	専攻科目	専門応用科目	必修	NULL
科学技術英語	知能情報メディア課程	2025	専攻科目	専門応用科目	必修	NULL
特別研究	知能情報メディア課程	2025	専攻科目	専門応用科目	必修	NULL
