エラータイプ,エラー内容
処理エラー,科目コード Y000001010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000001020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000001030: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000001040: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000001050: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000001060: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002030: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002040: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002050: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002060: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000004010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000005010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000006010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000007010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000008010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000009010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000010010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000010020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000010030: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000010040: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000010050: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000010060: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000011010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000011020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000011030: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000011040: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000011050: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000011060: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001001010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001002010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001003010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001004010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001005010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001006010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001007010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001008010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001009010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001010010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001011010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001012010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001013010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001014010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001015010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001016010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001017010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001018010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001019010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001020010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001021010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001022010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001023010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001024010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001025010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001026010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001027010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001028010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001029010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001030010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001031010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001032010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001033010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001034010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001035010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001036010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001037010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001038010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001039010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001040010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001041010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001042010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001043010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001044010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001045010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001046010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001047010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001048010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001049010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001050010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001051010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001052010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001053010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001054010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001055010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001056010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057030: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057040: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057050: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057060: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057070: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057080: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057090: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057100: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057110: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057120: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057130: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001057140: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058300: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058310: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058320: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058330: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058340: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058350: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058360: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058370: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058390: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058400: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058410: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058420: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001058430: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059030: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059040: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059050: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059060: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059070: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059080: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059090: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059100: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059120: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059130: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001059140: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060030: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060040: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060050: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060060: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060070: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060080: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060090: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060100: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060120: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060130: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001060140: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002001010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002002010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002003010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002004010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002005010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002006010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002007010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002008010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002009010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002010010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002011010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002012010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002013010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002014010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002015010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002016010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002017010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002018010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002019010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002020010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002021010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002022010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002023010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002024010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002025010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002026010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002027010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002028010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002029010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002030010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002031010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002032010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002033010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002034010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002035010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002036020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002037010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002038010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002039010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002040510: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041540: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041550: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041560: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041570: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041580: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041590: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041600: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041610: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041620: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041630: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041640: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041650: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y002041660: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003001010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003002010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003003010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003004010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003005010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003006010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003007010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003008010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003009010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003010010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003011010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003012010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003013010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003014010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003015010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003016010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003017010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003018010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003019010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003020010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003021010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003022010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003022020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003023010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003024010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003025010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003026010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003027010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003028010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003029010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003030010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003031010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003032010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003033010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003033020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003034010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003035010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003036010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003037010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003038010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003039010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003040010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003041010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003042010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003043010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003044010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003045010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003046010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003047010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003048010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003049010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003051010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003052010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003053010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003054010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003055010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003056010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003057010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003058010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003059010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003060010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003061010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y003062010: エラーが発生しました: cannot unpack non-iterable bool object
