ファイル名,行番号,科目名,学部課程,年度,属性名,属性値,エラータイプ,エラー詳細,正規化後科目名,処理日時
機械_2025.csv,39,振動工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 振動工学 (正規化後: 振動工学),振動工学,2025-06-30T10:14:27.273398
機械_2025.csv,40,材料力学応用,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 材料力学応用 (正規化後: 材料力学応用),材料力学応用,2025-06-30T10:14:27.273710
機械_2025.csv,42,ディジタル電子制御,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: ディジタル電子制御 (正規化後: ディジタル電子制御),ディジタル電子制御,2025-06-30T10:14:27.275353
機械_2025.csv,43,機構学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 機構学 (正規化後: 機構学),機構学,2025-06-30T10:14:27.275703
機械_2025.csv,58,先端理工キャリア実習I,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:14:27.290656
機械_2025.csv,59,先端理工インタ-ンシップI,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:14:27.291003
機械_2025.csv,60,先端理工キャリア実習II,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:14:27.291327
機械_2025.csv,61,先端理工インタ-ンシップII,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:14:27.291665
機械_2025.csv,63,弾性構造力学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 弾性構造力学 (正規化後: 弾性構造力学),弾性構造力学,2025-06-30T10:14:27.293061
機械_2025.csv,65,熱工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 熱工学 (正規化後: 熱工学),熱工学,2025-06-30T10:14:27.294813
機械_2025.csv,66,制御系設計論,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 制御系設計論 (正規化後: 制御系設計論),制御系設計論,2025-06-30T10:14:27.295133
機械_2025.csv,67,計算力学実習,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 計算力学実習 (正規化後: 計算力学実習),計算力学実習,2025-06-30T10:14:27.295436
機械_2025.csv,68,メカトロニクス,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: メカトロニクス (正規化後: メカトロニクス),メカトロニクス,2025-06-30T10:14:27.295705
機械_2025.csv,79,材料強度学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 材料強度学 (正規化後: 材料強度学),材料強度学,2025-06-30T10:14:27.308868
機械_2025.csv,80,伝熱工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 伝熱工学 (正規化後: 伝熱工学),伝熱工学,2025-06-30T10:14:27.309168
機械_2025.csv,81,システム工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: システム工学 (正規化後: システム工学),システム工学,2025-06-30T10:14:27.309453
機械_2025.csv,82,ロボット工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: ロボット工学 (正規化後: ロボット工学),ロボット工学,2025-06-30T10:14:27.309734
環境_2025.csv,2,環境実験IA,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 環境実験IA (正規化後: 環境実験IA),環境実験IA,2025-06-30T10:14:27.329914
環境_2025.csv,4,キャリア実習·実習指導,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:14:27.332759
環境_2025.csv,7,ASEAN グロ-バルプログラム,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-30T10:14:27.336310
環境_2025.csv,10,プロジェクトリサ-チ I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ I (正規化後: プロジェクトリサ-チ I),プロジェクトリサ-チ I,2025-06-30T10:14:27.338928
環境_2025.csv,11,プロジェクトリサ-チ II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ II (正規化後: プロジェクトリサ-チ II),プロジェクトリサ-チ II,2025-06-30T10:14:27.339246
環境_2025.csv,12,先端理工キャリア実習 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 I (正規化後: 先端理工キャリア実習 I),先端理工キャリア実習 I,2025-06-30T10:14:27.339625
環境_2025.csv,13,先端理工インタ-ンシップ I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ I (正規化後: 先端理工インタ-ンシップ I),先端理工インタ-ンシップ I,2025-06-30T10:14:27.339989
環境_2025.csv,14,先端理工キャリア実習 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 II (正規化後: 先端理工キャリア実習 II),先端理工キャリア実習 II,2025-06-30T10:14:27.340353
環境_2025.csv,15,先端理工インタ-ンシップ II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ II (正規化後: 先端理工インタ-ンシップ II),先端理工インタ-ンシップ II,2025-06-30T10:14:27.340719
環境_2025.csv,21,生態学概論 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 生態学概論 I (正規化後: 生態学概論 I),生態学概論 I,2025-06-30T10:14:27.347502
環境_2025.csv,22,生態学概論 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 生態学概論 II (正規化後: 生態学概論 II),生態学概論 II,2025-06-30T10:14:27.347784
環境_2025.csv,23,地域環境概論 A,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 地域環境概論 A (正規化後: 地域環境概論 A),地域環境概論 A,2025-06-30T10:14:27.348016
環境_2025.csv,24,地域環境概論 B,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 地域環境概論 B (正規化後: 地域環境概論 B),地域環境概論 B,2025-06-30T10:14:27.348269
環境_2025.csv,25,地球環境概論 A,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 地球環境概論 A (正規化後: 地球環境概論 A),地球環境概論 A,2025-06-30T10:14:27.348653
環境_2025.csv,26,地球環境概論 B,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 地球環境概論 B (正規化後: 地球環境概論 B),地球環境概論 B,2025-06-30T10:14:27.348939
環境_2025.csv,32,クラウドコンピュ-ティング演習,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:14:27.356092
環境_2025.csv,36,環境実習 IIA,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 環境実習 IIA (正規化後: 環境実習 IIA),環境実習 IIA,2025-06-30T10:14:27.360512
環境_2025.csv,37,環境実習 IIIA,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 環境実習 IIIA (正規化後: 環境実習 IIIA),環境実習 IIIA,2025-06-30T10:14:27.360891
環境_2025.csv,41,大気環境科学課程,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 大気環境科学課程 (正規化後: 大気環境科学課程),大気環境科学課程,2025-06-30T10:14:27.365768
環境_2025.csv,45,セミナ- I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: セミナ- I (正規化後: セミナ- I),セミナ- I,2025-06-30T10:14:27.370332
環境_2025.csv,46,セミナ- II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: セミナ- II (正規化後: セミナ- II),セミナ- II,2025-06-30T10:14:27.370657
環境_2025.csv,47,セミナ- III,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: セミナ- III (正規化後: セミナ- III),セミナ- III,2025-06-30T10:14:27.371228
環境_2025.csv,48,SDGs 概論,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: SDGs 概論 (正規化後: SDGs 概論),SDGs 概論,2025-06-30T10:14:27.371688
環境_2025.csv,51,水環境科学課程,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 水環境科学課程 (正規化後: 水環境科学課程),水環境科学課程,2025-06-30T10:14:27.374885
環境_2025.csv,52,化学工学 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 化学工学 I (正規化後: 化学工学 I),化学工学 I,2025-06-30T10:14:27.375173
環境_2025.csv,53,化学工学 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 化学工学 II (正規化後: 化学工学 II),化学工学 II,2025-06-30T10:14:27.375706
環境_2025.csv,76,土木工学 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 土木工学 I (正規化後: 土木工学 I),土木工学 I,2025-06-30T10:14:27.406848
環境_2025.csv,77,土木工学 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 土木工学 II (正規化後: 土木工学 II),土木工学 II,2025-06-30T10:14:27.407193
環境_2025.csv,78,燃焼工学,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 燃焼工学 (正規化後: 燃焼工学),燃焼工学,2025-06-30T10:14:27.407567
環境_2025.csv,79,廃棄物管理学 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 I (正規化後: 廃棄物管理学 I),廃棄物管理学 I,2025-06-30T10:14:27.407924
環境_2025.csv,80,廃棄物管理学 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 II (正規化後: 廃棄物管理学 II),廃棄物管理学 II,2025-06-30T10:14:27.408305
