ファイル名,行番号,科目名,学部課程,年度,科目区分,科目小区分,必須度,エラータイプ,エラー詳細,正規化後科目名,処理日時
応化_2025.csv,27,キャリア実習·実習指導,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-07-02T12:30:41.884461
応化_2025.csv,28,ASEAN グロ-バルプログラム,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-07-02T12:30:41.886305
応化_2025.csv,33,先端理工キャリア実習I,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-07-02T12:30:41.891772
応化_2025.csv,34,先端理工インタ-ンシップI,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-07-02T12:30:41.893909
応化_2025.csv,35,先端理工キャリア実習II,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-07-02T12:30:41.895801
応化_2025.csv,36,先端理工インタ-ンシップII,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-07-02T12:30:41.897752
応化_2025.csv,41,クラウドコンピュ-ティング演習,応用化学課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-07-02T12:30:41.905185
応化_2025.csv,88,半導体材料科学I,応用化学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 半導体材料科学I (正規化後: 半導体材料科学I),半導体材料科学I,2025-07-02T12:30:41.960848
応化_2025.csv,89,半導体材料科学II,応用化学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 半導体材料科学II (正規化後: 半導体材料科学II),半導体材料科学II,2025-07-02T12:30:41.962353
応化_2025.csv,93,循環型グリ-ンケミストリ-,応用化学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 循環型グリ-ンケミストリ- (正規化後: 循環型グリ-ンケミストリ-),循環型グリ-ンケミストリ-,2025-07-02T12:30:41.968128
