ファイル名,行番号,科目名,学部課程,年度,科目区分,科目小区分,必須度,エラータイプ,エラー詳細,正規化後科目名,処理日時
数理_2025.csv,7,クラウドコンピュ-ティング演習,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-07-02T12:30:42.006075
数理_2025.csv,8,キャリア実習·実習指導,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-07-02T12:30:42.007949
数理_2025.csv,9,ASEAN グロ-バルプログラム,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-07-02T12:30:42.010252
数理_2025.csv,14,先端理工キャリア実習I,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-07-02T12:30:42.017645
数理_2025.csv,15,先端理工インタ-ンシップI,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-07-02T12:30:42.019400
数理_2025.csv,16,先端理工キャリア実習II,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-07-02T12:30:42.021422
数理_2025.csv,17,先端理工インタ-ンシップII,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-07-02T12:30:42.023409
機械_2025.csv,19,キャリア実習·実習指導,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-07-02T12:30:42.142125
機械_2025.csv,21,材料力学基礎,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 材料力学基礎 (正規化後: 材料力学基礎),材料力学基礎,2025-07-02T12:30:42.146709
機械_2025.csv,30,ASEAN グロ-バルプログラム,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-07-02T12:30:42.162364
機械_2025.csv,32,クラウドコンピュ-ティング演習,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-07-02T12:30:42.165543
機械_2025.csv,40,材料力学応用,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 材料力学応用 (正規化後: 材料力学応用),材料力学応用,2025-07-02T12:30:42.177399
機械_2025.csv,58,先端理工キャリア実習I,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-07-02T12:30:42.202028
機械_2025.csv,59,先端理工インタ-ンシップI,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-07-02T12:30:42.203842
機械_2025.csv,60,先端理工キャリア実習II,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-07-02T12:30:42.205664
機械_2025.csv,61,先端理工インタ-ンシップII,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-07-02T12:30:42.207369
機械_2025.csv,63,弾性構造力学,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 弾性構造力学 (正規化後: 弾性構造力学),弾性構造力学,2025-07-02T12:30:42.210311
環境_2025.csv,2,環境実験IA,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 環境実験IA (正規化後: 環境実験IA),環境実験IA,2025-07-02T12:30:42.259266
環境_2025.csv,4,キャリア実習·実習指導,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-07-02T12:30:42.262773
環境_2025.csv,7,ASEAN グロ-バルプログラム,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-07-02T12:30:42.266481
環境_2025.csv,10,プロジェクトリサ-チ I,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ I (正規化後: プロジェクトリサ-チ I),プロジェクトリサ-チ I,2025-07-02T12:30:42.270135
環境_2025.csv,11,プロジェクトリサ-チ II,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ II (正規化後: プロジェクトリサ-チ II),プロジェクトリサ-チ II,2025-07-02T12:30:42.271512
環境_2025.csv,12,先端理工キャリア実習 I,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 I (正規化後: 先端理工キャリア実習 I),先端理工キャリア実習 I,2025-07-02T12:30:42.273406
環境_2025.csv,13,先端理工インタ-ンシップ I,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ I (正規化後: 先端理工インタ-ンシップ I),先端理工インタ-ンシップ I,2025-07-02T12:30:42.275377
環境_2025.csv,14,先端理工キャリア実習 II,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 II (正規化後: 先端理工キャリア実習 II),先端理工キャリア実習 II,2025-07-02T12:30:42.277447
環境_2025.csv,15,先端理工インタ-ンシップ II,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ II (正規化後: 先端理工インタ-ンシップ II),先端理工インタ-ンシップ II,2025-07-02T12:30:42.279374
環境_2025.csv,21,生態学概論 I,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 生態学概論 I (正規化後: 生態学概論 I),生態学概論 I,2025-07-02T12:30:42.286219
環境_2025.csv,22,生態学概論 II,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 生態学概論 II (正規化後: 生態学概論 II),生態学概論 II,2025-07-02T12:30:42.287963
環境_2025.csv,23,地域環境概論 A,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地域環境概論 A (正規化後: 地域環境概論 A),地域環境概論 A,2025-07-02T12:30:42.289519
環境_2025.csv,24,地域環境概論 B,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地域環境概論 B (正規化後: 地域環境概論 B),地域環境概論 B,2025-07-02T12:30:42.291252
環境_2025.csv,25,地球環境概論 A,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地球環境概論 A (正規化後: 地球環境概論 A),地球環境概論 A,2025-07-02T12:30:42.293248
環境_2025.csv,26,地球環境概論 B,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地球環境概論 B (正規化後: 地球環境概論 B),地球環境概論 B,2025-07-02T12:30:42.295167
環境_2025.csv,32,クラウドコンピュ-ティング演習,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-07-02T12:30:42.301922
環境_2025.csv,36,環境実習 IIA,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 環境実習 IIA (正規化後: 環境実習 IIA),環境実習 IIA,2025-07-02T12:30:42.306567
環境_2025.csv,37,環境実習 IIIA,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 環境実習 IIIA (正規化後: 環境実習 IIIA),環境実習 IIIA,2025-07-02T12:30:42.308271
環境_2025.csv,41,大気環境科学課程,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 大気環境科学課程 (正規化後: 大気環境科学課程),大気環境科学課程,2025-07-02T12:30:42.314673
環境_2025.csv,45,セミナ- I,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: セミナ- I (正規化後: セミナ- I),セミナ- I,2025-07-02T12:30:42.321160
環境_2025.csv,46,セミナ- II,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: セミナ- II (正規化後: セミナ- II),セミナ- II,2025-07-02T12:30:42.322846
環境_2025.csv,47,セミナ- III,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: セミナ- III (正規化後: セミナ- III),セミナ- III,2025-07-02T12:30:42.324483
環境_2025.csv,48,SDGs 概論,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: SDGs 概論 (正規化後: SDGs 概論),SDGs 概論,2025-07-02T12:30:42.326248
環境_2025.csv,51,水環境科学課程,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 水環境科学課程 (正規化後: 水環境科学課程),水環境科学課程,2025-07-02T12:30:42.330470
環境_2025.csv,52,化学工学 I,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 化学工学 I (正規化後: 化学工学 I),化学工学 I,2025-07-02T12:30:42.332084
環境_2025.csv,53,化学工学 II,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 化学工学 II (正規化後: 化学工学 II),化学工学 II,2025-07-02T12:30:42.333618
環境_2025.csv,76,土木工学 I,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 土木工学 I (正規化後: 土木工学 I),土木工学 I,2025-07-02T12:30:42.362185
環境_2025.csv,77,土木工学 II,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 土木工学 II (正規化後: 土木工学 II),土木工学 II,2025-07-02T12:30:42.364174
環境_2025.csv,79,廃棄物管理学 I,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 I (正規化後: 廃棄物管理学 I),廃棄物管理学 I,2025-07-02T12:30:42.368443
環境_2025.csv,80,廃棄物管理学 II,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 II (正規化後: 廃棄物管理学 II),廃棄物管理学 II,2025-07-02T12:30:42.370238
環境_2025.csv,89,景観生態学,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 景観生態学 (正規化後: 景観生態学),景観生態学,2025-07-02T12:30:42.381813
環境_2025.csv,95,廃棄物処理施設設計,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 廃棄物処理施設設計 (正規化後: 廃棄物処理施設設計),廃棄物処理施設設計,2025-07-02T12:30:42.389931
知能_2025.csv,6,キャリア実習·実習指導,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-07-02T12:30:42.416744
知能_2025.csv,7,ASEAN グロ-バルプログラム,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-07-02T12:30:42.418554
知能_2025.csv,11,先端理工キャリア実習I,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-07-02T12:30:42.423308
知能_2025.csv,12,先端理工インタ-ンシップI,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-07-02T12:30:42.425013
知能_2025.csv,13,先端理工キャリア実習II,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-07-02T12:30:42.427050
知能_2025.csv,14,先端理工インタ-ンシップII,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-07-02T12:30:42.428765
知能_2025.csv,36,クラウドコンピュ-ティング演習,知能情報メディア課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-07-02T12:30:42.453016
知能_2025.csv,40,知能情報メディア課程演習,知能情報メディア課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程演習 (正規化後: 知能情報メディア課程演習),知能情報メディア課程演習,2025-07-02T12:30:42.457587
知能_2025.csv,54,知能情報メディア課程セミナ-,知能情報メディア課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程セミナ- (正規化後: 知能情報メディア課程セミナ-),知能情報メディア課程セミナ-,2025-07-02T12:30:42.473865
電子_2025.csv,4,キャリア実習·実習指導,電子情報通信課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-07-02T12:30:42.494610
電子_2025.csv,7,クラウドコンピュ-ティング演習,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-07-02T12:30:42.498696
電子_2025.csv,12,先端理工キャリア実習I,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-07-02T12:30:42.505031
電子_2025.csv,13,先端理工インタ-ンシップI,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-07-02T12:30:42.506780
電子_2025.csv,14,先端理工キャリア実習II,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-07-02T12:30:42.508923
電子_2025.csv,15,先端理工インタ-ンシップII,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-07-02T12:30:42.510910
電子_2025.csv,38,電子情報通信課程実験I,電子情報通信課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験I (正規化後: 電子情報通信課程実験I),電子情報通信課程実験I,2025-07-02T12:30:42.537478
電子_2025.csv,48,電子情報通信課程実験II,電子情報通信課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験II (正規化後: 電子情報通信課程実験II),電子情報通信課程実験II,2025-07-02T12:30:42.549693
電子_2025.csv,66,情報セキュリティ,電子情報通信課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 情報セキュリティ (正規化後: 情報セキュリティ),情報セキュリティ,2025-07-02T12:30:42.571449
電子_2025.csv,76,量子力学[隔年開講],電子情報通信課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 量子力学 (正規化後: 量子力学),量子力学,2025-07-02T12:30:42.584602
電子_2025.csv,84,計算機ア-キテクチャ,電子情報通信課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 計算機ア-キテクチャ (正規化後: 計算機ア-キテクチャ),計算機ア-キテクチャ,2025-07-02T12:30:42.594511
