json_name,error_message,date
Y740000123.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y740000124.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y740000200.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000110.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000631.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000632.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000633.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000636.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000637.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000638.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000639.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000640.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000641.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000643.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000644.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000645.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000646.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000649.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000650.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000651.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000652.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000653.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000654.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000656.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000658.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000660.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000661.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000662.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000663.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y750000664.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000103.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000107.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000112.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000115.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000118.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000121.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000174.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000175.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000176.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000177.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000178.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000179.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000180.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000181.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000182.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000183.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000184.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000187.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000188.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000190.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000192.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000194.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000196.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000198.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000200.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000202.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000204.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000206.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000208.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000210.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000226.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000227.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000419.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y760000420.json,講義回数の解析結果が空です,2025-06-21 20:10:58
Y000001010.json,最終回が2回（期待値: 15回または30回）,2025-06-21 20:10:58
Y000001030.json,最終回が16回（期待値: 15回または30回）,2025-06-21 20:10:58
Y000001040.json,最終回が82回（期待値: 15回または30回）,2025-06-21 20:10:58
Y000002050.json,最終回が6回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001001010.json,最終回が2回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001002010.json,最終回が115回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001005010.json,最終回が115回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001017010.json,最終回が1112回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001019010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001021010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001026010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001027010.json,最終回が58回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001028010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001029010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001030010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001031010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001032010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001033010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001035010.json,最終回が2回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001036010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001037010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001038010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001039010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001040010.json,最終回が7回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001041010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
Y001042010.json,最終回が8回（期待値: 15回または30回）,2025-06-21 20:10:58
