ファイル名,行番号,科目名,学部課程,年度,属性名,属性値,エラータイプ,エラー詳細,正規化後科目名,処理日時
応化_2025.csv,27,キャリア実習·実習指導,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:18:31.802394
応化_2025.csv,28,ASEAN グロ-バルプログラム,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-30T10:18:31.802599
応化_2025.csv,33,先端理工キャリア実習I,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:18:31.806100
応化_2025.csv,34,先端理工インタ-ンシップI,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:18:31.806365
応化_2025.csv,35,先端理工キャリア実習II,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:18:31.806635
応化_2025.csv,36,先端理工インタ-ンシップII,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:18:31.806955
応化_2025.csv,41,クラウドコンピュ-ティング演習,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:18:31.811430
応化_2025.csv,88,半導体材料科学I,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 半導体材料科学I (正規化後: 半導体材料科学I),半導体材料科学I,2025-06-30T10:18:31.871083
応化_2025.csv,89,半導体材料科学II,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 半導体材料科学II (正規化後: 半導体材料科学II),半導体材料科学II,2025-06-30T10:18:31.871322
応化_2025.csv,93,循環型グリ-ンケミストリ-,応用化学課程,2025,,,科目名ID未取得,科目名が見つかりません: 循環型グリ-ンケミストリ- (正規化後: 循環型グリ-ンケミストリ-),循環型グリ-ンケミストリ-,2025-06-30T10:18:31.875029
数理_2025.csv,7,クラウドコンピュ-ティング演習,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:18:31.905044
数理_2025.csv,8,キャリア実習·実習指導,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:18:31.905388
数理_2025.csv,9,ASEAN グロ-バルプログラム,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-30T10:18:31.905691
数理_2025.csv,14,先端理工キャリア実習I,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:18:31.910161
数理_2025.csv,15,先端理工インタ-ンシップI,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:18:31.910587
数理_2025.csv,16,先端理工キャリア実習II,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:18:31.910975
数理_2025.csv,17,先端理工インタ-ンシップII,数理·情報科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:18:31.911373
機械_2025.csv,19,キャリア実習·実習指導,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:18:32.040588
機械_2025.csv,20,機械力学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 機械力学 (正規化後: 機械力学),機械力学,2025-06-30T10:18:32.041353
機械_2025.csv,21,材料力学基礎,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 材料力学基礎 (正規化後: 材料力学基礎),材料力学基礎,2025-06-30T10:18:32.042211
機械_2025.csv,22,流体力学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 流体力学 (正規化後: 流体力学),流体力学,2025-06-30T10:18:32.042913
機械_2025.csv,23,アナログ電子制御,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: アナログ電子制御 (正規化後: アナログ電子制御),アナログ電子制御,2025-06-30T10:18:32.043539
機械_2025.csv,24,熱力学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 熱力学 (正規化後: 熱力学),熱力学,2025-06-30T10:18:32.044298
機械_2025.csv,25,制御工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 制御工学 (正規化後: 制御工学),制御工学,2025-06-30T10:18:32.044696
機械_2025.csv,30,ASEAN グロ-バルプログラム,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-30T10:18:32.049152
機械_2025.csv,32,クラウドコンピュ-ティング演習,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:18:32.050558
機械_2025.csv,35,電磁気学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 電磁気学 (正規化後: 電磁気学),電磁気学,2025-06-30T10:18:32.053311
機械_2025.csv,39,振動工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 振動工学 (正規化後: 振動工学),振動工学,2025-06-30T10:18:32.056425
機械_2025.csv,40,材料力学応用,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 材料力学応用 (正規化後: 材料力学応用),材料力学応用,2025-06-30T10:18:32.056825
機械_2025.csv,42,ディジタル電子制御,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: ディジタル電子制御 (正規化後: ディジタル電子制御),ディジタル電子制御,2025-06-30T10:18:32.058440
機械_2025.csv,43,機構学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 機構学 (正規化後: 機構学),機構学,2025-06-30T10:18:32.058711
機械_2025.csv,58,先端理工キャリア実習I,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:18:32.074009
機械_2025.csv,59,先端理工インタ-ンシップI,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:18:32.074287
機械_2025.csv,60,先端理工キャリア実習II,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:18:32.074538
機械_2025.csv,61,先端理工インタ-ンシップII,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:18:32.074787
機械_2025.csv,63,弾性構造力学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 弾性構造力学 (正規化後: 弾性構造力学),弾性構造力学,2025-06-30T10:18:32.075924
機械_2025.csv,65,熱工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 熱工学 (正規化後: 熱工学),熱工学,2025-06-30T10:18:32.077475
機械_2025.csv,66,制御系設計論,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 制御系設計論 (正規化後: 制御系設計論),制御系設計論,2025-06-30T10:18:32.077804
機械_2025.csv,67,計算力学実習,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 計算力学実習 (正規化後: 計算力学実習),計算力学実習,2025-06-30T10:18:32.078135
機械_2025.csv,68,メカトロニクス,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: メカトロニクス (正規化後: メカトロニクス),メカトロニクス,2025-06-30T10:18:32.078347
機械_2025.csv,79,材料強度学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 材料強度学 (正規化後: 材料強度学),材料強度学,2025-06-30T10:18:32.091666
機械_2025.csv,80,伝熱工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: 伝熱工学 (正規化後: 伝熱工学),伝熱工学,2025-06-30T10:18:32.091969
機械_2025.csv,81,システム工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: システム工学 (正規化後: システム工学),システム工学,2025-06-30T10:18:32.092249
機械_2025.csv,82,ロボット工学,機械工学·ロボティクス課程,2025,,,科目名ID未取得,科目名が見つかりません: ロボット工学 (正規化後: ロボット工学),ロボット工学,2025-06-30T10:18:32.092534
環境_2025.csv,2,環境実験IA,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 環境実験IA (正規化後: 環境実験IA),環境実験IA,2025-06-30T10:18:32.107242
環境_2025.csv,4,キャリア実習·実習指導,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:18:32.109184
環境_2025.csv,7,ASEAN グロ-バルプログラム,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-30T10:18:32.112470
環境_2025.csv,10,プロジェクトリサ-チ I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ I (正規化後: プロジェクトリサ-チ I),プロジェクトリサ-チ I,2025-06-30T10:18:32.115740
環境_2025.csv,11,プロジェクトリサ-チ II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ II (正規化後: プロジェクトリサ-チ II),プロジェクトリサ-チ II,2025-06-30T10:18:32.116086
環境_2025.csv,12,先端理工キャリア実習 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 I (正規化後: 先端理工キャリア実習 I),先端理工キャリア実習 I,2025-06-30T10:18:32.116483
環境_2025.csv,13,先端理工インタ-ンシップ I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ I (正規化後: 先端理工インタ-ンシップ I),先端理工インタ-ンシップ I,2025-06-30T10:18:32.116913
環境_2025.csv,14,先端理工キャリア実習 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 II (正規化後: 先端理工キャリア実習 II),先端理工キャリア実習 II,2025-06-30T10:18:32.117284
環境_2025.csv,15,先端理工インタ-ンシップ II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ II (正規化後: 先端理工インタ-ンシップ II),先端理工インタ-ンシップ II,2025-06-30T10:18:32.117687
環境_2025.csv,21,生態学概論 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 生態学概論 I (正規化後: 生態学概論 I),生態学概論 I,2025-06-30T10:18:32.123803
環境_2025.csv,22,生態学概論 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 生態学概論 II (正規化後: 生態学概論 II),生態学概論 II,2025-06-30T10:18:32.124144
環境_2025.csv,23,地域環境概論 A,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 地域環境概論 A (正規化後: 地域環境概論 A),地域環境概論 A,2025-06-30T10:18:32.124428
環境_2025.csv,24,地域環境概論 B,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 地域環境概論 B (正規化後: 地域環境概論 B),地域環境概論 B,2025-06-30T10:18:32.124719
環境_2025.csv,25,地球環境概論 A,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 地球環境概論 A (正規化後: 地球環境概論 A),地球環境概論 A,2025-06-30T10:18:32.125098
環境_2025.csv,26,地球環境概論 B,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 地球環境概論 B (正規化後: 地球環境概論 B),地球環境概論 B,2025-06-30T10:18:32.125411
環境_2025.csv,32,クラウドコンピュ-ティング演習,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:18:32.133117
環境_2025.csv,36,環境実習 IIA,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 環境実習 IIA (正規化後: 環境実習 IIA),環境実習 IIA,2025-06-30T10:18:32.137475
環境_2025.csv,37,環境実習 IIIA,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 環境実習 IIIA (正規化後: 環境実習 IIIA),環境実習 IIIA,2025-06-30T10:18:32.137751
環境_2025.csv,41,大気環境科学課程,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 大気環境科学課程 (正規化後: 大気環境科学課程),大気環境科学課程,2025-06-30T10:18:32.142591
環境_2025.csv,45,セミナ- I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: セミナ- I (正規化後: セミナ- I),セミナ- I,2025-06-30T10:18:32.147448
環境_2025.csv,46,セミナ- II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: セミナ- II (正規化後: セミナ- II),セミナ- II,2025-06-30T10:18:32.147669
環境_2025.csv,47,セミナ- III,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: セミナ- III (正規化後: セミナ- III),セミナ- III,2025-06-30T10:18:32.147871
環境_2025.csv,48,SDGs 概論,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: SDGs 概論 (正規化後: SDGs 概論),SDGs 概論,2025-06-30T10:18:32.148088
