ファイル名,行番号,科目名,学部課程,年度,属性名,属性値,エラータイプ,エラー詳細,正規化後科目名,処理日時
環境_2025.csv,51,水環境科学課程,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 水環境科学課程 (正規化後: 水環境科学課程),水環境科学課程,2025-06-30T10:18:32.151619
環境_2025.csv,52,化学工学 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 化学工学 I (正規化後: 化学工学 I),化学工学 I,2025-06-30T10:18:32.151948
環境_2025.csv,53,化学工学 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 化学工学 II (正規化後: 化学工学 II),化学工学 II,2025-06-30T10:18:32.152194
環境_2025.csv,76,土木工学 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 土木工学 I (正規化後: 土木工学 I),土木工学 I,2025-06-30T10:18:32.184880
環境_2025.csv,77,土木工学 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 土木工学 II (正規化後: 土木工学 II),土木工学 II,2025-06-30T10:18:32.185189
環境_2025.csv,78,燃焼工学,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 燃焼工学 (正規化後: 燃焼工学),燃焼工学,2025-06-30T10:18:32.185470
環境_2025.csv,79,廃棄物管理学 I,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 I (正規化後: 廃棄物管理学 I),廃棄物管理学 I,2025-06-30T10:18:32.185774
環境_2025.csv,80,廃棄物管理学 II,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 II (正規化後: 廃棄物管理学 II),廃棄物管理学 II,2025-06-30T10:18:32.186093
環境_2025.csv,89,景観生態学,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 景観生態学 (正規化後: 景観生態学),景観生態学,2025-06-30T10:18:32.198605
環境_2025.csv,95,廃棄物処理施設設計,環境科学課程,2025,,,科目名ID未取得,科目名が見つかりません: 廃棄物処理施設設計 (正規化後: 廃棄物処理施設設計),廃棄物処理施設設計,2025-06-30T10:18:32.207846
知能_2025.csv,6,キャリア実習·実習指導,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:18:32.230250
知能_2025.csv,7,ASEAN グロ-バルプログラム,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-30T10:18:32.230452
知能_2025.csv,11,先端理工キャリア実習I,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:18:32.232302
知能_2025.csv,12,先端理工インタ-ンシップI,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:18:32.232558
知能_2025.csv,13,先端理工キャリア実習II,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:18:32.232804
知能_2025.csv,14,先端理工インタ-ンシップII,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:18:32.233055
知能_2025.csv,36,クラウドコンピュ-ティング演習,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:18:32.247938
知能_2025.csv,40,知能情報メディア課程演習,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程演習 (正規化後: 知能情報メディア課程演習),知能情報メディア課程演習,2025-06-30T10:18:32.250979
知能_2025.csv,54,知能情報メディア課程セミナ-,知能情報メディア課程,2025,,,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程セミナ- (正規化後: 知能情報メディア課程セミナ-),知能情報メディア課程セミナ-,2025-06-30T10:18:32.268763
電子_2025.csv,4,キャリア実習·実習指導,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-30T10:18:32.284535
電子_2025.csv,7,クラウドコンピュ-ティング演習,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-30T10:18:32.287015
電子_2025.csv,12,先端理工キャリア実習I,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-30T10:18:32.290772
電子_2025.csv,13,先端理工インタ-ンシップI,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-30T10:18:32.291037
電子_2025.csv,14,先端理工キャリア実習II,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-30T10:18:32.291285
電子_2025.csv,15,先端理工インタ-ンシップII,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-30T10:18:32.291589
電子_2025.csv,38,電子情報通信課程実験I,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験I (正規化後: 電子情報通信課程実験I),電子情報通信課程実験I,2025-06-30T10:18:32.309140
電子_2025.csv,48,電子情報通信課程実験II,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験II (正規化後: 電子情報通信課程実験II),電子情報通信課程実験II,2025-06-30T10:18:32.320032
電子_2025.csv,66,情報セキュリティ,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 情報セキュリティ (正規化後: 情報セキュリティ),情報セキュリティ,2025-06-30T10:18:32.343447
電子_2025.csv,76,量子力学[隔年開講],電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 量子力学 (正規化後: 量子力学),量子力学,2025-06-30T10:18:32.357891
電子_2025.csv,84,計算機ア-キテクチャ,電子情報通信課程,2025,,,科目名ID未取得,科目名が見つかりません: 計算機ア-キテクチャ (正規化後: 計算機ア-キテクチャ),計算機ア-キテクチャ,2025-06-30T10:18:32.368059
