ファイル名,行番号,科目名,学部課程,年度,科目区分,科目小区分,必須度,エラータイプ,エラー詳細,正規化後科目名,処理日時
応化_2025.csv,27,キャリア実習·実習指導,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T19:18:17.036737
応化_2025.csv,28,ASEAN グロ-バルプログラム,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T19:18:17.038315
応化_2025.csv,33,先端理工キャリア実習I,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T19:18:17.044514
応化_2025.csv,34,先端理工インタ-ンシップI,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T19:18:17.046567
応化_2025.csv,35,先端理工キャリア実習II,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T19:18:17.048323
応化_2025.csv,36,先端理工インタ-ンシップII,応用化学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T19:18:17.050598
応化_2025.csv,41,クラウドコンピュ-ティング演習,応用化学課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T19:18:17.056462
応化_2025.csv,88,半導体材料科学I,応用化学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 半導体材料科学I (正規化後: 半導体材料科学I),半導体材料科学I,2025-06-25T19:18:17.110748
応化_2025.csv,89,半導体材料科学II,応用化学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 半導体材料科学II (正規化後: 半導体材料科学II),半導体材料科学II,2025-06-25T19:18:17.112679
応化_2025.csv,93,循環型グリ-ンケミストリ-,応用化学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 循環型グリ-ンケミストリ- (正規化後: 循環型グリ-ンケミストリ-),循環型グリ-ンケミストリ-,2025-06-25T19:18:17.117613
数理_2025.csv,7,クラウドコンピュ-ティング演習,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T19:18:17.149994
数理_2025.csv,8,キャリア実習·実習指導,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T19:18:17.151593
数理_2025.csv,9,ASEAN グロ-バルプログラム,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T19:18:17.153251
数理_2025.csv,14,先端理工キャリア実習I,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T19:18:17.160398
数理_2025.csv,15,先端理工インタ-ンシップI,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T19:18:17.162073
数理_2025.csv,16,先端理工キャリア実習II,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T19:18:17.163816
数理_2025.csv,17,先端理工インタ-ンシップII,数理·情報科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T19:18:17.165440
機械_2025.csv,19,キャリア実習·実習指導,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T19:18:17.260222
機械_2025.csv,21,材料力学基礎,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 材料力学基礎 (正規化後: 材料力学基礎),材料力学基礎,2025-06-25T19:18:17.263543
機械_2025.csv,30,ASEAN グロ-バルプログラム,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T19:18:17.277265
機械_2025.csv,32,クラウドコンピュ-ティング演習,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T19:18:17.280172
機械_2025.csv,40,材料力学応用,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 材料力学応用 (正規化後: 材料力学応用),材料力学応用,2025-06-25T19:18:17.291699
機械_2025.csv,58,先端理工キャリア実習I,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T19:18:17.314221
機械_2025.csv,59,先端理工インタ-ンシップI,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T19:18:17.315870
機械_2025.csv,60,先端理工キャリア実習II,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T19:18:17.317458
機械_2025.csv,61,先端理工インタ-ンシップII,機械工学·ロボティクス課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T19:18:17.319135
機械_2025.csv,63,弾性構造力学,機械工学·ロボティクス課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 弾性構造力学 (正規化後: 弾性構造力学),弾性構造力学,2025-06-25T19:18:17.321829
環境_2025.csv,2,環境実験IA,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 環境実験IA (正規化後: 環境実験IA),環境実験IA,2025-06-25T19:18:17.370394
環境_2025.csv,4,キャリア実習·実習指導,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T19:18:17.373163
環境_2025.csv,7,ASEAN グロ-バルプログラム,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T19:18:17.377672
