ファイル名,行番号,科目名,学部課程,年度,科目区分,科目小区分,必須度,エラータイプ,エラー詳細,正規化後科目名,処理日時
環境_2025.csv,10,プロジェクトリサ-チ I,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ I (正規化後: プロジェクトリサ-チ I),プロジェクトリサ-チ I,2025-06-25T19:18:17.381206
環境_2025.csv,11,プロジェクトリサ-チ II,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: プロジェクトリサ-チ II (正規化後: プロジェクトリサ-チ II),プロジェクトリサ-チ II,2025-06-25T19:18:17.382836
環境_2025.csv,12,先端理工キャリア実習 I,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 I (正規化後: 先端理工キャリア実習 I),先端理工キャリア実習 I,2025-06-25T19:18:17.384566
環境_2025.csv,13,先端理工インタ-ンシップ I,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ I (正規化後: 先端理工インタ-ンシップ I),先端理工インタ-ンシップ I,2025-06-25T19:18:17.386319
環境_2025.csv,14,先端理工キャリア実習 II,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習 II (正規化後: 先端理工キャリア実習 II),先端理工キャリア実習 II,2025-06-25T19:18:17.387928
環境_2025.csv,15,先端理工インタ-ンシップ II,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップ II (正規化後: 先端理工インタ-ンシップ II),先端理工インタ-ンシップ II,2025-06-25T19:18:17.389964
環境_2025.csv,21,生態学概論 I,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 生態学概論 I (正規化後: 生態学概論 I),生態学概論 I,2025-06-25T19:18:17.397946
環境_2025.csv,22,生態学概論 II,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 生態学概論 II (正規化後: 生態学概論 II),生態学概論 II,2025-06-25T19:18:17.399787
環境_2025.csv,23,地域環境概論 A,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地域環境概論 A (正規化後: 地域環境概論 A),地域環境概論 A,2025-06-25T19:18:17.401529
環境_2025.csv,24,地域環境概論 B,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地域環境概論 B (正規化後: 地域環境概論 B),地域環境概論 B,2025-06-25T19:18:17.403228
環境_2025.csv,25,地球環境概論 A,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地球環境概論 A (正規化後: 地球環境概論 A),地球環境概論 A,2025-06-25T19:18:17.405235
環境_2025.csv,26,地球環境概論 B,環境科学課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 地球環境概論 B (正規化後: 地球環境概論 B),地球環境概論 B,2025-06-25T19:18:17.407414
環境_2025.csv,32,クラウドコンピュ-ティング演習,環境科学課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T19:18:17.414932
環境_2025.csv,36,環境実習 IIA,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 環境実習 IIA (正規化後: 環境実習 IIA),環境実習 IIA,2025-06-25T19:18:17.419802
環境_2025.csv,37,環境実習 IIIA,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 環境実習 IIIA (正規化後: 環境実習 IIIA),環境実習 IIIA,2025-06-25T19:18:17.422425
環境_2025.csv,41,大気環境科学課程,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 大気環境科学課程 (正規化後: 大気環境科学課程),大気環境科学課程,2025-06-25T19:18:17.428229
環境_2025.csv,45,セミナ- I,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: セミナ- I (正規化後: セミナ- I),セミナ- I,2025-06-25T19:18:17.432890
環境_2025.csv,46,セミナ- II,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: セミナ- II (正規化後: セミナ- II),セミナ- II,2025-06-25T19:18:17.434167
環境_2025.csv,47,セミナ- III,環境科学課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: セミナ- III (正規化後: セミナ- III),セミナ- III,2025-06-25T19:18:17.435875
環境_2025.csv,48,SDGs 概論,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: SDGs 概論 (正規化後: SDGs 概論),SDGs 概論,2025-06-25T19:18:17.437525
環境_2025.csv,51,水環境科学課程,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 水環境科学課程 (正規化後: 水環境科学課程),水環境科学課程,2025-06-25T19:18:17.441205
環境_2025.csv,52,化学工学 I,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 化学工学 I (正規化後: 化学工学 I),化学工学 I,2025-06-25T19:18:17.442853
環境_2025.csv,53,化学工学 II,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 化学工学 II (正規化後: 化学工学 II),化学工学 II,2025-06-25T19:18:17.444330
環境_2025.csv,76,土木工学 I,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 土木工学 I (正規化後: 土木工学 I),土木工学 I,2025-06-25T19:18:17.468224
環境_2025.csv,77,土木工学 II,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 土木工学 II (正規化後: 土木工学 II),土木工学 II,2025-06-25T19:18:17.469690
環境_2025.csv,79,廃棄物管理学 I,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 I (正規化後: 廃棄物管理学 I),廃棄物管理学 I,2025-06-25T19:18:17.472540
環境_2025.csv,80,廃棄物管理学 II,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 廃棄物管理学 II (正規化後: 廃棄物管理学 II),廃棄物管理学 II,2025-06-25T19:18:17.475018
環境_2025.csv,89,景観生態学,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 景観生態学 (正規化後: 景観生態学),景観生態学,2025-06-25T19:18:17.485502
環境_2025.csv,95,廃棄物処理施設設計,環境科学課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 廃棄物処理施設設計 (正規化後: 廃棄物処理施設設計),廃棄物処理施設設計,2025-06-25T19:18:17.492798
知能_2025.csv,6,キャリア実習·実習指導,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T19:18:17.521881
知能_2025.csv,7,ASEAN グロ-バルプログラム,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: ASEAN グロ-バルプログラム (正規化後: ASEAN グロ-バルプログラム),ASEAN グロ-バルプログラム,2025-06-25T19:18:17.523770
知能_2025.csv,11,先端理工キャリア実習I,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T19:18:17.529578
知能_2025.csv,12,先端理工インタ-ンシップI,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T19:18:17.531567
知能_2025.csv,13,先端理工キャリア実習II,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T19:18:17.533230
知能_2025.csv,14,先端理工インタ-ンシップII,知能情報メディア課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T19:18:17.534828
知能_2025.csv,36,クラウドコンピュ-ティング演習,知能情報メディア課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T19:18:17.561197
知能_2025.csv,40,知能情報メディア課程演習,知能情報メディア課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程演習 (正規化後: 知能情報メディア課程演習),知能情報メディア課程演習,2025-06-25T19:18:17.566340
知能_2025.csv,54,知能情報メディア課程セミナ-,知能情報メディア課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程セミナ- (正規化後: 知能情報メディア課程セミナ-),知能情報メディア課程セミナ-,2025-06-25T19:18:17.583913
電子_2025.csv,4,キャリア実習·実習指導,電子情報通信課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T19:18:17.604056
電子_2025.csv,7,クラウドコンピュ-ティング演習,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T19:18:17.608251
電子_2025.csv,12,先端理工キャリア実習I,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T19:18:17.614294
電子_2025.csv,13,先端理工インタ-ンシップI,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T19:18:17.615802
電子_2025.csv,14,先端理工キャリア実習II,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T19:18:17.617280
電子_2025.csv,15,先端理工インタ-ンシップII,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T19:18:17.618813
電子_2025.csv,38,電子情報通信課程実験I,電子情報通信課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験I (正規化後: 電子情報通信課程実験I),電子情報通信課程実験I,2025-06-25T19:18:17.645384
電子_2025.csv,48,電子情報通信課程実験II,電子情報通信課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験II (正規化後: 電子情報通信課程実験II),電子情報通信課程実験II,2025-06-25T19:18:17.658675
電子_2025.csv,66,情報セキュリティ,電子情報通信課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 情報セキュリティ (正規化後: 情報セキュリティ),情報セキュリティ,2025-06-25T19:18:17.681743
電子_2025.csv,76,量子力学[隔年開講],電子情報通信課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 量子力学 (正規化後: 量子力学),量子力学,2025-06-25T19:18:17.692542
電子_2025.csv,84,計算機ア-キテクチャ,電子情報通信課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 計算機ア-キテクチャ (正規化後: 計算機ア-キテクチャ),計算機ア-キテクチャ,2025-06-25T19:18:17.700953
