エラータイプ,エラー内容
処理エラー,lecture_session_irregular_idが見つかりません: Y001007010 パターン[L29]
処理エラー,lecture_session_irregular_idが見つかりません: Y001007010 パターン[L30]
処理エラー,lecture_session_irregular_idが見つかりません: Y006051010 パターン[1]
処理エラー,lecture_session_irregular_idが見つかりません: Y006051010 パターン[8]
処理エラー,lecture_session_irregular_idが見つかりません: Y006057010 パターン[1回目]
処理エラー,lecture_session_irregular_idが見つかりません: Y006057010 パターン[2回目]
処理エラー,lecture_session_irregular_idが見つかりません: Y006057010 パターン[5回目]
処理エラー,lecture_session_irregular_idが見つかりません: Y006057010 パターン[8回目]
処理エラー,lecture_session_irregular_idが見つかりません: Y006060010 パターン[１回目]
処理エラー,lecture_session_irregular_idが見つかりません: Y006060010 パターン[２回目]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000102 パターン[1]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000102 パターン[2]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000116 パターン[1]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000116 パターン[29]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000116 パターン[30]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000408 パターン[1]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000408 パターン[29]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000408 パターン[30]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000409 パターン[1]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000409 パターン[29]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000409 パターン[30]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000654 パターン[1]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000654 パターン[29]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000654 パターン[30]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000655 パターン[1]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000655 パターン[29]
処理エラー,lecture_session_irregular_idが見つかりません: Y740000655 パターン[30]
処理エラー,lecture_session_irregular_idが見つかりません: Y760000110 パターン[1]
処理エラー,lecture_session_irregular_idが見つかりません: Y760000110 パターン[2]
処理エラー,lecture_session_irregular_idが見つかりません: Y760000110 パターン[3]
処理エラー,lecture_session_irregular_idが見つかりません: Y760000110 パターン[4]
処理エラー,lecture_session_irregular_idが見つかりません: Y760000110 パターン[5]
処理エラー,lecture_session_irregular_idが見つかりません: Y760000110 パターン[10]
処理エラー,lecture_session_irregular_idが見つかりません: Y760000110 パターン[13]
処理エラー,lecture_session_irregular_idが見つかりません: Y760000110 パターン[14]
処理エラー,lecture_session_irregular_idが見つかりません: Y760000110 パターン[15]
