"{projectルートからのシラバスjsonのpath}", "error message", "time"
"src/syllabus/2025/json/Y003029010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「電磁気学ファインマン物理学 3」、CiNii書籍名「電磁気学」", "2025-06-19 15:34:17"
"src/syllabus/2025/json/Y003059010.json", "不正ISBN: 桁数違反", "2025-06-19 15:34:41"
"src/syllabus/2025/json/Y003067010.json", "不正ISBN: cd違反", "2025-06-19 15:34:47"
"src/syllabus/2025/json/Y004007010.json", "不正ISBN: 桁数違反", "2025-06-19 15:34:47"
"src/syllabus/2025/json/Y004010010.json", "不正ISBN: 桁数違反", "2025-06-19 15:34:48"
"src/syllabus/2025/json/Y004013010.json", "不正ISBN: 桁数違反", "2025-06-19 15:34:49"
"src/syllabus/2025/json/Y004017010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「振動学」、CiNii書籍名「振動学 = Mechanical vibration」", "2025-06-19 15:34:49"
"src/syllabus/2025/json/Y004024010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「振動学」、CiNii書籍名「振動学 = Mechanical vibration」", "2025-06-19 15:34:49"
"src/syllabus/2025/json/Y004038010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「材料の科学と工学〈1〉材料の微細構造」、CiNii書籍名「機械材料入門」", "2025-06-19 15:34:49"
"src/syllabus/2025/json/Y004050010.json", "不正ISBN: 桁数違反", "2025-06-19 15:34:49"
"src/syllabus/2025/json/Y004060010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「材料の科学と工学〈1〉材料の微細構造」、CiNii書籍名「機械材料入門」", "2025-06-19 15:34:49"
"src/syllabus/2025/json/Y004065010.json", "不正ISBN: cd違反", "2025-06-19 15:34:49"
"src/syllabus/2025/json/Y005015010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「有機化学／問題の解き方（第6版）」、CiNii書籍名「Study guide and student solutions manual : organic chemistry」", "2025-06-19 15:34:49"
"src/syllabus/2025/json/Y005016010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「無機化学（上）第6版」、CiNii書籍名「シュライバー・アトキンス無機化学」", "2025-06-19 15:34:49"
"src/syllabus/2025/json/Y005020010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「アトキンス物理化学問題の解き方」、CiNii書籍名「Student's solutions manual to accompany Atkins' physical chemistry」", "2025-06-19 15:34:50"
"src/syllabus/2025/json/Y005045010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「基礎　化学工学」、CiNii書籍名「基礎化学工学 = Fundamentals of chemical engineering」", "2025-06-19 15:34:50"
"src/syllabus/2025/json/Y005045010.json", "不正ISBN: 桁数違反", "2025-06-19 15:34:50"
"src/syllabus/2025/json/Y005047010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「図解 ﾌｧｲﾝｾﾗﾐｯｸｽの結晶化学」、CiNii書籍名「図解ファインセラミックスの結晶化学 : 無機固体化合物の構造と性質」", "2025-06-19 15:34:50"
