エラータイプ,エラー内容
処理エラー,科目コード Y000001020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000001030: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000001050: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000001060: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002020: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002030: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002040: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000002060: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000004010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000005010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000006010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y000007010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001003010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001004010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001006010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001009010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001010010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001011010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001012010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001013010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001014010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001018010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001019010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001020010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001021010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001022010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001026010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001028010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001029010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001030010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001031010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001032010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001033010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001036010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001037010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001038010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001039010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001040010: エラーが発生しました: cannot unpack non-iterable bool object
処理エラー,科目コード Y001041010: エラーが発生しました: cannot unpack non-iterable bool object
